no,group,name,tip_label,hpv_genome,genus,group_number,hpv_name,group_genome,color,shape,size
43,rag,Met2859_rag_skin_NODE_321_length_7312_cov_14.277387_5,Met2859_rag_skin_NODE_321_length_7312_cov_14.277387_5,0,rag,146,0,0,red,23,1.4
44,pave,HPV146,HPV146-L1|lcl|Human,146,gamma,15,gammapapillomavirus_15,gamma_HPV146,gamma,21,1
45,rag,Met2825_rag_skin_NODE_465_length_7294_cov_19.255146_3,Met2825_rag_skin_NODE_465_length_7294_cov_19.255146_3,0,rag,146,0,0,red,21,1.4
46,pave,HPV135,HPV135-L1|lcl|Human,135,gamma,15,gammapapillomavirus_15,gamma_HPV135,gamma,21,1
47,pave,HPV179,HPV179-L1|lcl|Human,179,gamma,15,gammapapillomavirus_15,gamma_HPV179,gamma,21,1
48,pave,HPV213,HPV213-L1|lcl|Human,213,gamma,NA,gammapapillomavirus_NA,gamma_HPV213,gamma,21,1
49,pave,HPV219,HPV219-L1|lcl|Human,219,gamma,NA,gammapapillomavirus_NA,gamma_HPV219,gamma,21,1
50,pave,HPV153,HPV153-L1|lcl|Human,153,gamma,13,gammapapillomavirus_13,gamma_HPV153,gamma,21,1
51,rag,Met2906_rag_skin_NODE_604_length_7317_cov_20.215505_2,Met2906_rag_skin_NODE_604_length_7317_cov_20.215505_2,0,rag,128,0,0,red,21,1.4
52,pave,HPV128,HPV128-L1|lcl|Human,128,gamma,13,gammapapillomavirus_13,gamma_HPV128,gamma,21,1
53,pave,HPV137,HPV137-L1|lcl|Human,137,gamma,16,gammapapillomavirus_16,gamma_HPV137,gamma,21,1
54,rag,Met2824_rag_skin_NODE_637_length_7291_cov_10.182836_4,Met2824_rag_skin_NODE_637_length_7291_cov_10.182836_4,0,rag,137,0,0,red,21,1.4
55,pave,HPV215,HPV215-L1|lcl|Human,215,gamma,NA,gammapapillomavirus_NA,gamma_HPV215,gamma,21,1
56,pave,HPV216,HPV216-L1|lcl|Human,216,gamma,NA,gammapapillomavirus_NA,gamma_HPV216,gamma,21,1
57,pave,HPV129,HPV129-L1|lcl|Human,129,gamma,9,gammapapillomavirus_9,gamma_HPV129,gamma,21,1
58,pave,HPV116,HPV116-L1|lcl|Human,116,gamma,9,gammapapillomavirus_9,gamma_HPV116,gamma,21,1
59,rag,Met2824_rag_skin_NODE_619_length_7355_cov_28.153973_1,Met2824_rag_skin_NODE_619_length_7355_cov_28.153973_1,0,rag,129,0,0,red,23,1.4
60,pave,HPV181,HPV181-L1|lcl|Human,181,gamma,11,gammapapillomavirus_11,gamma_HPV181,gamma,21,1
61,pave,HPV126,HPV126-L1|lcl|Human,126,gamma,11,gammapapillomavirus_11,gamma_HPV126,gamma,21,1
62,pave,HPV169,HPV169-L1|lcl|Human,169,gamma,11,gammapapillomavirus_11,gamma_HPV169,gamma,21,1
63,pave,HPV171,HPV171-L1|lcl|Human,171,gamma,11,gammapapillomavirus_11,gamma_HPV171,gamma,21,1
64,pave,HPV202,HPV202-L1|lcl|Human,202,gamma,NA,gammapapillomavirus_NA,gamma_HPV202,gamma,21,1
65,pave,HPV140,HPV140-L1|lcl|Human,140,gamma,11,gammapapillomavirus_11,gamma_HPV140,gamma,21,1
66,rag,Met2824_rag_skin_NODE_623_length_7332_cov_35.031469_6,Met2824_rag_skin_NODE_623_length_7332_cov_35.031469_6,0,rag,154,0,0,red,23,1.4
67,pave,HPV154,HPV154-L1|lcl|Human,154,gamma,11,gammapapillomavirus_11,gamma_HPV154,gamma,21,1
68,pave,HPV141,HPV141-L1|lcl|Human,141,gamma,11,gammapapillomavirus_11,gamma_HPV141,gamma,21,1
69,rag,Met2861_rag_skin_NODE_98_length_7374_cov_32.292800_4,Met2861_rag_skin_NODE_98_length_7374_cov_32.292800_4,0,rag,148,0,0,red,21,1.4
70,rag,Met2825_rag_skin_NODE_454_length_7374_cov_21.799016_4,Met2825_rag_skin_NODE_454_length_7374_cov_21.799016_4,0,rag,136,0,0,red,21,1.4
71,pave,HPV136,HPV136-L1|lcl|Human,136,gamma,11,gammapapillomavirus_11,gamma_HPV136,gamma,21,1
72,rag,Met2824_rag_skin_NODE_618_length_7355_cov_67.220411_1,Met2824_rag_skin_NODE_618_length_7355_cov_67.220411_1,0,rag,203,0,0,red,21,1.4
73,pave,HPV222,HPV222-L1|lcl|Human,222,gamma,NA,gammapapillomavirus_NA,gamma_HPV222,gamma,21,1
74,pave,HPV161,HPV161-L1|lcl|Human,161,gamma,19,gammapapillomavirus_19,gamma_HPV161,gamma,21,1
75,pave,HPV166,HPV166-L1|lcl|Human,166,gamma,19,gammapapillomavirus_19,gamma_HPV166,gamma,21,1
76,pave,HPV162,HPV162-L1|lcl|Human,162,gamma,19,gammapapillomavirus_19,gamma_HPV162,gamma,21,1
77,pave,HPV167,HPV167-L1|lcl|Human,167,gamma,21,gammapapillomavirus_21,gamma_HPV167,gamma,21,1
78,pave,HPV220,HPV220-L1|lcl|Human,220,gamma,NA,gammapapillomavirus_NA,gamma_HPV220,gamma,21,1
79,rag,Met2825_rag_skin_NODE_463_length_7299_cov_27.241579_4,Met2825_rag_skin_NODE_463_length_7299_cov_27.241579_4,0,rag,212,0,0,red,23,1.4
80,pave,HPV144,HPV144-L1|lcl|Human,144,gamma,17,gammapapillomavirus_17,gamma_HPV144,gamma,21,1
