no,group,name,tip_label,hpv_genome,genus,group_number,hpv_name,group_genome,color,shape,size
131,pave,HPV150,HPV150-L1|lcl|Human,150,beta,5,betapapillomavirus_5,beta_HPV150,beta,21,1
132,pave,HPV185,HPV185-L1|lcl|Human,185,beta,5,betapapillomavirus_5,beta_HPV185,beta,21,1
133,pave,HPV96,HPV96-L1|lcl|Human,96,beta,5,betapapillomavirus_5,beta_HPV96,beta,21,1
134,pave,HPV104,HPV104-L1|lcl|Human,104,beta,2,betapapillomavirus_2,beta_HPV104,beta,21,1
135,rag,Met2859_rag_skin_NODE_303_length_7456_cov_154.455074_2,Met2859_rag_skin_NODE_303_length_7456_cov_154.455074_2,0,rag,104,0,0,red,21,1.4
136,pave,HPV209,HPV209-L1|lcl|Human,209,beta,NA,betapapillomavirus_NA,beta_HPV209,beta,21,1
137,pave,HPV107,HPV107-L1|lcl|Human,107,beta,2,betapapillomavirus_2,beta_HPV107,beta,21,1
138,rag,Met2825_rag_skin_NODE_443_length_7478_cov_16.773003_1,Met2825_rag_skin_NODE_443_length_7478_cov_16.773003_1,0,rag,107,0,0,red,21,1.4
139,pave,HPV38,HPV38-L1|lcl|Human,38,beta,2,betapapillomavirus_2,beta_HPV38,beta,21,1
140,pave,HPV100,HPV100-L1|lcl|Human,100,beta,2,betapapillomavirus_2,beta_HPV100,beta,21,1
141,pave,HPV151,HPV151-L1|lcl|Human,151,beta,2,betapapillomavirus_2,beta_HPV151,beta,21,1
142,pave,HPV22,HPV22-L1|lcl|Human,22,beta,2,betapapillomavirus_2,beta_HPV22,beta,21,1
143,pave,HPV23,HPV23-L1|lcl|Human,23,beta,2,betapapillomavirus_2,beta_HPV23,beta,21,1
144,pave,HPV120,HPV120-L1|lcl|Human,120,beta,2,betapapillomavirus_2,beta_HPV120,beta,21,1
145,pave,HPV110,HPV110-L1|lcl|Human,110,beta,2,betapapillomavirus_2,beta_HPV110,beta,21,1
146,pave,HPV80,HPV80-L1|lcl|Human,80,beta,2,betapapillomavirus_2,beta_HPV80,beta,21,1
147,pave,HPV15,HPV15-L1|lcl|Human,15,beta,2,betapapillomavirus_2,beta_HPV15,beta,21,1
148,pave,HPV182,HPV182-L1|lcl|Human,182,beta,2,betapapillomavirus_2,beta_HPV182,beta,21,1
149,pave,HPV17,HPV17-L1|lcl|Human,17,beta,2,betapapillomavirus_2,beta_HPV17,beta,21,1
150,pave,HPV37,HPV37-L1|lcl|Human,37,beta,2,betapapillomavirus_2,beta_HPV37,beta,21,1
151,pave,HPV227,HPV227-L1|lcl|Human,227,beta,NA,betapapillomavirus_NA,beta_HPV227,beta,21,1
152,pave,HPV122,HPV122-L1|lcl|Human,122,beta,2,betapapillomavirus_2,beta_HPV122,beta,21,1
153,pave,HPV111,HPV111-L1|lcl|Human,111,beta,2,betapapillomavirus_2,beta_HPV111,beta,21,1
154,pave,HPV113,HPV113-L1|lcl|Human,113,beta,2,betapapillomavirus_2,beta_HPV113,beta,21,1
155,rag,Met4151_rag_skin_NODE_280_length_7472_cov_32.962788_1,Met4151_rag_skin_NODE_280_length_7472_cov_32.962788_1,0,rag,113,0,0,red,21,1.4
156,pave,HPV9,HPV9-L1|lcl|Human,9,beta,2,betapapillomavirus_2,beta_HPV9,beta,21,1
157,pave,HPV159,HPV159-L1|lcl|Human,159,beta,2,betapapillomavirus_2,beta_HPV159,beta,21,1
